,n_killed,n_injured,latitude,longitude,Year,Month,Day,labels
71534,0,1,39.3157,-76.5945,2015,5,7,0
60312,0,0,34.9193,-81.0441,2015,3,3,0
137166,0,1,33.7585,-84.3491,2016,7,1,0
217083,0,0,35.9127,-86.4079,2017,11,7,0
174760,0,0,43.0788,-87.9414,2017,3,7,0
108708,0,0,39.7751,-86.1096,2016,1,5,0
181672,0,1,33.7458,-78.82,2017,4,5,0
235732,0,1,40.2614,-76.8694,2018,3,3,0
146451,0,0,39.788,-86.2946,2016,9,5,0
56201,1,0,40.7178,-89.6066,2015,2,2,0
59156,0,1,40.9264,-74.1794,2015,3,1,0
161225,0,0,35.2148,-101.908,2016,12,2,0
75685,0,1,43.0295,-83.7337,2015,6,5,0
138428,0,0,35.3544,-119.074,2016,7,1,0
58496,0,1,38.9503,-76.9895,2015,2,2,0
231486,0,0,29.0255,-80.9281,2018,2,2,0
155387,0,0,41.4735,-81.8338,2016,11,2,0
161203,0,0,38.3604,-81.6518,2016,12,2,0
133756,0,7,40.682,-73.9176,2016,7,2,0
81402,0,1,29.9612,-90.1119,2015,7,6,0
105,0,6,36.8571,-76.2735,2013,6,6,0
5673,0,0,32.7196,-97.3866,2014,2,1,0
143482,0,1,38.6723,-90.2833,2016,8,1,0
77697,1,0,37.4788,-120.845,2015,7,5,0
142613,0,1,41.8931,-87.7623,2016,8,4,0
6558,0,0,41.8588,-87.6272,2014,2,2,0
58096,0,0,45.5718,-122.666,2015,2,5,0
23700,1,0,36.6417,-79.8174,2014,6,7,0
14681,0,0,35.2235,-80.9442,2014,4,7,0
130491,0,1,40.0391,-76.3455,2016,6,1,0
47828,0,1,39.3146,-76.6662,2014,11,4,0
177283,0,1,32.7312,-97.2479,2017,3,2,0
221908,0,0,42.546,-71.9117,2017,12,3,0
105242,0,1,41.8129,-87.6131,2015,12,2,0
187,0,4,40.7283,-74.0048,2013,9,4,0
34167,0,1,32.2648,-110.961,2014,8,6,0
67161,0,2,41.2586,-95.9359,2015,4,1,0
105835,0,0,36.1172,-115.95,2016,1,6,0
138572,0,1,41.8647,-87.6519,2016,8,2,0
153186,0,1,40.4072,-79.8699,2016,10,3,0
94935,1,0,45.5754,-94.1703,2015,10,1,0
28340,0,0,32.4628,-99.7602,2014,7,7,0
183073,1,0,41.0452,-81.4595,2017,4,6,0
214238,0,1,40.9222,-74.1616,2017,10,5,0
25440,0,1,29.501,-98.3847,2014,7,4,0
106347,0,1,42.9366,-78.9006,2016,1,2,0
71902,0,1,33.9023,-118.049,2015,5,2,0
82935,1,1,39.758,-84.1465,2015,8,1,0
7495,0,1,35.3993,-78.8158,2014,2,4,0
228610,0,0,42.1656,-88.4625,2018,1,5,0
42791,0,1,34.1574,-97.1306,2014,10,3,0
191725,0,0,42.3015,-71.0829,2017,6,4,0
122370,0,0,41.7075,-85.9599,2016,4,5,0
233181,1,0,38.6161,-76.892,2018,2,7,0
150436,0,1,41.65,-87.4443,2016,10,2,0
128182,0,1,36.1036,-95.8319,2016,5,7,0
160702,0,1,42.1677,-123.631,2016,12,6,0
14200,0,0,29.7752,-95.3102,2014,4,3,0
218762,0,0,35.9975,-84.3084,2017,11,4,0
43682,0,1,41.7082,-83.5854,2014,10,1,0
85120,0,1,26.7256,-80.0913,2015,8,1,0
52260,1,0,43.4896,-112.029,2015,1,5,0
151018,1,0,26.1568,-80.1627,2016,10,5,0
84132,1,0,34.9098,-81.0333,2015,8,1,0
105137,0,0,36.1478,-95.971,2015,12,1,0
118558,0,1,38.2918,-122.031,2016,3,2,0
51307,0,1,33.9467,-116.527,2014,12,6,0
223138,0,1,43.1839,-97.6378,2017,12,4,0
35414,1,0,38.897,-90.1846,2014,9,7,0
185201,0,1,34.0145,-117.337,2017,5,3,0
237216,0,0,36.934,-76.2151,2018,3,5,0
163080,0,1,21.2966,-157.853,2016,12,7,0
29752,1,0,39.3548,-76.6097,2014,8,1,0
166869,0,1,29.9241,-90.0092,2017,1,7,0
228926,0,1,37.7752,-122.217,2018,1,7,0
147442,1,0,38.2935,-77.4545,2016,9,4,0
205881,1,0,33.7079,-84.2183,2017,8,2,0
130693,0,0,28.947,-81.3297,2016,6,2,0
195776,1,0,38.2945,-77.494,2017,7,7,0
66148,0,0,36.1087,-86.8656,2015,4,7,0
219772,0,0,40.9168,-74.1718,2017,11,3,0
23079,1,0,40.0121,-75.1599,2014,6,3,0
77052,1,0,29.4087,-98.467,2015,6,7,0
4351,0,0,22.2119,-159.518,2014,1,4,0
26968,0,0,43.0897,-87.947,2014,7,6,0
212856,0,0,42.7281,-87.8005,2017,10,3,0
179828,0,0,42.8445,-72.5694,2017,4,2,0
153373,0,1,42.9297,-85.6614,2016,10,5,0
